address,latitude,longitude
"Lafayette, IN Supercharger, 4901 State Rd. 26E, Lafayette, IN 47905
",40.4161118,-86.8140902
"Mishawaka, IN Supercharger, 6501 Grape Rd, Mishawaka, IN 46545
",41.7172844,-86.1886344
"Terre Haute, IN Supercharger, 5600 E. New Margaret Dr., Terre Haute, IN 47803
",39.4433077,-87.3315926
"Coralville Supercharger, 1914 8th Street, Coralville, IA 52241
",41.6804592,-91.5913841
"Council Bluffs Supercharger, 3815 Metro Drive, Council Bluffs, IA 51501
",41.2210548,-95.835676
"Davenport Supercharger, 4064 E 53rd St, Davenport, IA 52807
",41.5770374,-90.5133056
"Dows Supercharger, 904 Cardinal Lane, Dows,  50071-8004
",42.6740162,-93.4627278
"West Des Moines Supercharger, 1725 Jordan Creek Parkway, West Des Moines, IA 50266
",41.5990504,-93.8062343
"Colby, KS Supercharger, 700 E Horton Ave, Colby, KS 67701-3746
",39.361342,-101.054067
"Goodland, KS Supercharger, 2631 Enterprise Rd, Goodland, KS 67735
",39.3262621,-101.7251171
"Hays, KS Supercharger, 4101 Vine St, Hays, KS 67601
",38.9005228,-99.3192454
"Salina, KS Supercharger, 755 W. Diamond Dr., Salina, KS 67401
",38.8770712,-97.6187099
"Topeka, KS Supercharger, 5930 SW Huntoon St, Topeka, KS 66614
",39.0440498,-95.7602249
"Wichita Kansas Supercharger, 4760 S. Broadway Street, Wichita, KS 67216
",37.6088175,-97.3331591
"Bowling Green  Supercharger, 1676 Westpark Drive, Bowling Green, KY 42104
",36.9552059,-86.4388881
"Kuttawa Supercharger, 62 Days Inn Dr, Kuttawa, KY 42055-5954
",37.0734956,-88.1247644
"Lexington Supercharger, 2155 Paul Jones Way, Lexington, KY 40509
",38.01826,-84.4219049
